j1, j4, j2, j3, e1, e2, Eigenvalue3, Eigenvalue4, First Eigenvector Comp 3, First Eigenvector Comp 4
-1.00000, 0.00000, -0.90000, -0.70000,-0.67500, 0.17500, -0.39080, 0.89080, -0.66444, -0.74734
-1.00000, 0.00000, -0.90000, -0.60000,-0.65000, 0.15000, -0.39420, 0.89420, -0.64991, -0.76001
-1.00000, 0.00000, -0.90000, -0.50000,-0.62500, 0.12500, -0.39856, 0.89856, -0.63532, -0.77225
-1.00000, 0.00000, -0.90000, -0.40000,-0.60000, 0.10000, -0.40383, 0.90383, -0.62072, -0.78403
-1.00000, 0.00000, -0.90000, -0.30000,-0.57500, 0.07500, -0.41002, 0.91002, -0.60616, -0.79534
-1.00000, 0.00000, -0.90000, -0.20000,-0.55000, 0.05000, -0.41708, 0.91708, -0.59169, -0.80617
-1.00000, 0.00000, -0.90000, -0.10000,-0.52500, 0.02500, -0.42500, 0.92500, -0.57735, -0.81650
-1.00000, 0.00000, -0.90000, -0.00000,-0.50000, 0.00000, -0.43374, 0.93374, -0.56319, -0.82633
-1.00000, 0.00000, -0.90000, 0.10000,-0.47500, -0.02500, -0.44327, 0.94327, -0.54924, -0.83566
-1.00000, 0.00000, -0.90000, 0.20000,-0.45000, -0.05000, -0.45356, 0.95356, -0.53554, -0.84451
-1.00000, 0.00000, -0.90000, 0.30000,-0.42500, -0.07500, -0.46458, 0.96458, -0.52211, -0.85288
-1.00000, 0.00000, -0.90000, 0.40000,-0.40000, -0.10000, -0.47629, 0.97629, -0.50897, -0.86078
-1.00000, 0.00000, -0.90000, 0.50000,-0.37500, -0.12500, -0.48866, 0.98866, -0.49615, -0.86824
-1.00000, 0.00000, -0.90000, 0.60000,-0.35000, -0.15000, -0.50166, 1.00166, -0.48366, -0.87526
-1.00000, 0.00000, -0.90000, 0.70000,-0.32500, -0.17500, -0.51526, 1.01526, -0.47151, -0.88186
-1.00000, 0.00000, -0.90000, 0.80000,-0.30000, -0.20000, -0.52942, 1.02942, -0.45970, -0.88807
-1.00000, 0.00000, -0.90000, 0.90000,-0.27500, -0.22500, -0.54412, 1.04412, -0.44825, -0.89391
-1.00000, 0.00000, -0.80000, -1.00000,-0.75000, 0.25000, -0.31569, 0.81569, -0.70711, -0.70711
-1.00000, 0.00000, -0.80000, -0.90000,-0.72500, 0.22500, -0.31624, 0.81624, -0.69132, -0.72255
-1.00000, 0.00000, -0.80000, -0.80000,-0.70000, 0.20000, -0.31789, 0.81789, -0.67526, -0.73758
-1.00000, 0.00000, -0.80000, -0.70000,-0.67500, 0.17500, -0.32064, 0.82064, -0.65900, -0.75214
-1.00000, 0.00000, -0.80000, -0.60000,-0.65000, 0.15000, -0.32446, 0.82446, -0.64262, -0.76618
-1.00000, 0.00000, -0.80000, -0.50000,-0.62500, 0.12500, -0.32933, 0.82933, -0.62619, -0.77967
-1.00000, 0.00000, -0.80000, -0.40000,-0.60000, 0.10000, -0.33523, 0.83523, -0.60979, -0.79256
-1.00000, 0.00000, -0.80000, -0.30000,-0.57500, 0.07500, -0.34214, 0.84214, -0.59349, -0.80484
-1.00000, 0.00000, -0.80000, -0.20000,-0.55000, 0.05000, -0.35000, 0.85000, -0.57735, -0.81650
-1.00000, 0.00000, -0.80000, -0.10000,-0.52500, 0.02500, -0.35879, 0.85879, -0.56143, -0.82752
-1.00000, 0.00000, -0.80000, -0.00000,-0.50000, 0.00000, -0.36847, 0.86847, -0.54579, -0.83792
-1.00000, 0.00000, -0.80000, 0.10000,-0.47500, -0.02500, -0.37899, 0.87899, -0.53047, -0.84771
