j1, j4, j2, j3, Eigenvalue1, Eigenvalue2, e3, e4, First Eigenvector Comp 1, First Eigenvector Comp 2
1.00000, 0.00000, -0.60000, -0.10000, -0.63387, 0.78387, -0.07500, -0.07500, -0.15457, -0.98798
1.00000, 0.00000, -0.60000, -0.00000, -0.60000, 0.80000, -0.10000, -0.10000, -0.18898, -0.98198
1.00000, 0.00000, -0.60000, 0.10000, -0.56962, 0.81962, -0.12500, -0.12500, -0.22386, -0.97462
1.00000, 0.00000, -0.60000, 0.20000, -0.54282, 0.84282, -0.15000, -0.15000, -0.25882, -0.96593
1.00000, 0.00000, -0.60000, 0.30000, -0.51962, 0.86962, -0.17500, -0.17500, -0.29344, -0.95598
1.00000, 0.00000, -0.60000, 0.40000, -0.50000, 0.90000, -0.20000, -0.20000, -0.32733, -0.94491
1.00000, 0.00000, -0.60000, 0.50000, -0.48387, 0.93387, -0.22500, -0.22500, -0.36013, -0.93290
1.00000, 0.00000, -0.60000, 0.60000, -0.47111, 0.97111, -0.25000, -0.25000, -0.39155, -0.92016
1.00000, 0.00000, -0.60000, 0.70000, -0.46155, 1.01155, -0.27500, -0.27500, -0.42137, -0.90689
1.00000, 0.00000, -0.60000, 0.80000, -0.45498, 1.05498, -0.30000, -0.30000, -0.44942, -0.89332
1.00000, 0.00000, -0.60000, 0.90000, -0.45121, 1.10121, -0.32500, -0.32500, -0.47564, -0.87964
1.00000, 0.00000, -0.50000, -1.00000, -1.02639, 0.77639, 0.12500, 0.12500, -0.12098, 0.99265
1.00000, 0.00000, -0.50000, -0.90000, -0.96747, 0.76747, 0.10000, 0.10000, -0.10034, 0.99495
1.00000, 0.00000, -0.50000, -0.80000, -0.91016, 0.76016, 0.07500, 0.07500, -0.07801, 0.99695
1.00000, 0.00000, -0.50000, -0.70000, -0.85467, 0.75467, 0.05000, 0.05000, -0.05389, 0.99855
1.00000, 0.00000, -0.50000, -0.60000, -0.80121, 0.75121, 0.02500, 0.02500, -0.02790, 0.99961
1.00000, 0.00000, -0.50000, -0.50000, -0.75000, 0.75000, 0.00000, 0.00000, -0.00000, 1.00000
1.00000, 0.00000, -0.50000, -0.40000, -0.70129, 0.75129, -0.02500, -0.02500, -0.02982, -0.99956
1.00000, 0.00000, -0.50000, -0.30000, -0.65534, 0.75534, -0.05000, -0.05000, -0.06151, -0.99811
1.00000, 0.00000, -0.50000, -0.20000, -0.61239, 0.76239, -0.07500, -0.07500, -0.09492, -0.99548
1.00000, 0.00000, -0.50000, -0.10000, -0.57268, 0.77268, -0.10000, -0.10000, -0.12984, -0.99153
1.00000, 0.00000, -0.50000, -0.00000, -0.53644, 0.78644, -0.12500, -0.12500, -0.16597, -0.98613
1.00000, 0.00000, -0.50000, 0.10000, -0.50383, 0.80383, -0.15000, -0.15000, -0.20290, -0.97920
1.00000, 0.00000, -0.50000, 0.20000, -0.47500, 0.82500, -0.17500, -0.17500, -0.24019, -0.97073
1.00000, 0.00000, -0.50000, 0.30000, -0.45000, 0.85000, -0.20000, -0.20000, -0.27735, -0.96077
1.00000, 0.00000, -0.50000, 0.40000, -0.42883, 0.87883, -0.22500, -0.22500, -0.31388, -0.94946
1.00000, 0.00000, -0.50000, 0.50000, -0.41144, 0.91144, -0.25000, -0.25000, -0.34934, -0.93700
1.00000, 0.00000, -0.50000, 0.60000, -0.39768, 0.94768, -0.27500, -0.27500, -0.38332, -0.92362
1.00000, 0.00000, -0.50000, 0.70000, -0.38739, 0.98739, -0.30000, -0.30000, -0.41554, -0.90958
1.00000, 0.00000, -0.50000, 0.80000, -0.38034, 1.03034, -0.32500, -0.32500, -0.44579, -0.89514
1.00000, 0.00000, -0.50000, 0.90000, -0.37629, 1.07629, -0.35000, -0.35000, -0.47395, -0.88055
1.00000, 0.00000, -0.40000, -1.00000, -0.98882, 0.78882, 0.10000, 0.10000, -0.14778, 0.98902
1.00000, 0.00000, -0.40000, -0.90000, -0.92794, 0.77794, 0.07500, 0.07500, -0.12797, 0.99178
1.00000, 0.00000, -0.40000, -0.80000, -0.86854, 0.76854, 0.05000, 0.05000, -0.10641, 0.99432
1.00000, 0.00000, -0.40000, -0.70000, -0.81081, 0.76081, 0.02500, 0.02500, -0.08294, 0.99655
1.00000, 0.00000, -0.40000, -0.60000, -0.75498, 0.75498, 0.00000, 0.00000, -0.05745, 0.99835
1.00000, 0.00000, -0.40000, -0.50000, -0.70129, 0.75129, -0.02500, -0.02500, 0.02982, -0.99956
1.00000, 0.00000, -0.40000, -0.40000, -0.65000, 0.75000, -0.05000, -0.05000, 0.00000, -1.00000
1.00000, 0.00000, -0.40000, -0.30000, -0.60139, 0.75139, -0.07500, -0.07500, -0.03203, -0.99949
1.00000, 0.00000, -0.40000, -0.20000, -0.55574, 0.75574, -0.10000, -0.10000, -0.06618, -0.99781
1.00000, 0.00000, -0.40000, -0.10000, -0.51336, 0.76336, -0.12500, -0.12500, -0.10228, -0.99476
1.00000, 0.00000, -0.40000, -0.00000, -0.47450, 0.77450, -0.15000, -0.15000, -0.14006, -0.99014
1.00000, 0.00000, -0.40000, 0.10000, -0.43941, 0.78941, -0.17500, -0.17500, -0.17909, -0.98383
1.00000, 0.00000, -0.40000, 0.20000, -0.40828, 0.80828, -0.20000, -0.20000, -0.21887, -0.97575
1.00000, 0.00000, -0.40000, 0.30000, -0.38122, 0.83122, -0.22500, -0.22500, -0.25882, -0.96593
1.00000, 0.00000, -0.40000, 0.40000, -0.35828, 0.85828, -0.25000, -0.25000, -0.29833, -0.95446
1.00000, 0.00000, -0.40000, 0.50000, -0.33941, 0.88941, -0.27500, -0.27500, -0.33682, -0.94157
1.00000, 0.00000, -0.40000, 0.60000, -0.32450, 0.92450, -0.30000, -0.30000, -0.37378, -0.92752
1.00000, 0.00000, -0.40000, 0.70000, -0.31336, 0.96336, -0.32500, -0.32500, -0.40880, -0.91263
1.00000, 0.00000, -0.40000, 0.80000, -0.30574, 1.00574, -0.35000, -0.35000, -0.44159, -0.89722
1.00000, 0.00000, -0.40000, 0.90000, -0.30139, 1.05139, -0.37500, -0.37500, -0.47201, -0.88159
1.00000, 0.00000, -0.30000, -1.00000, -0.95392, 0.80392, 0.07500, 0.07500, -0.17514, 0.98454
1.00000, 0.00000, -0.30000, -0.90000, -0.89113, 0.79113, 0.05000, 0.05000, -0.15636, 0.98770
1.00000, 0.00000, -0.30000, -0.80000, -0.82967, 0.77967, 0.02500, 0.02500, -0.13579, 0.99074
1.00000, 0.00000, -0.30000, -0.70000, -0.76974, 0.76974, 0.00000, 0.00000, -0.11324, 0.99357
1.00000, 0.00000, -0.30000, -0.60000, -0.71155, 0.76155, -0.02500, -0.02500, 0.08853, -0.99607
1.00000, 0.00000, -0.30000, -0.50000, -0.65534, 0.75534, -0.05000, -0.05000, 0.06151, -0.99811
